DATE,Producer Price Index(By  Industry in $),Export Price Index(End Use of semiconductors),Import Price Index(in $ End Use of semiconductors),No. of employed peoples in semiconductor industry,Export Price Index (End use excluding without semiconductors),Relative Importance Weights (Contribution to the Total Industrial Production Index % WISE),"Import Price Index (End Use): Capital Goods, Excluding Computers, Peripherals, and Semiconductors","Export Price Index(End Use): Capital Goods, Excluding Computers, Peripherals, and Semiconductors","Industrial Production: Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors"
01-01-1985,100.5,.,.,670.8,.,5.5335,.,,81.43
01-02-1985,100.8,.,.,665.6,.,5.3861,.,,81.4319
01-03-1985,100.9,169,141.6,660.9,223.9,5.3103,69.2,,82.1699
01-04-1985,100.6,.,.,653.9,.,5.1255,.,,81.9731
01-05-1985,100.1,.,.,647.2,.,5.0821,.,,82.1311
01-06-1985,100.1,169.6,147.5,639.6,220.9,5.0562,70.3,,82.2561
01-07-1985,100.4,.,.,626.5,.,4.9461,.,,81.6641
01-08-1985,100.5,.,.,623.6,.,4.9468,.,,82.2985
01-09-1985,100.5,163.8,137.2,618.1,220.4,4.8799,71.7,,82.5875
01-10-1985,100.5,.,.,611.9,.,4.9109,.,,82.3289
01-11-1985,100.6,.,.,607.1,.,4.9498,.,,82.8087
01-12-1985,100.8,155.9,137.6,603.9,218.9,4.9321,74,,83.2342
01-01-1986,101.4,.,.,605.8,.,4.9069,.,,84.0596
01-02-1986,101.6,.,.,605.4,.,4.9508,.,,83.6327
01-03-1986,101.8,159,132.1,604.7,221,5.0217,76.6,,83.4888
01-04-1986,102,.,.,605,.,5.0468,.,,84.0276
01-05-1986,102.1,.,.,603.9,.,5.077,.,,84.1096
01-06-1986,102.3,157.3,138.9,602.3,218.6,4.9327,79.5,,83.7559
01-07-1986,102.8,.,.,599,.,5.1702,.,,83.8877
01-08-1986,102.7,.,.,601.1,.,5.2016,.,,84.189
01-09-1986,103.1,158.9,141.3,601,217.8,5.227,81.8,,84.188
01-10-1986,103.2,.,.,599.1,.,5.2095,.,,84.6824
01-11-1986,103.1,.,.,596.2,.,5.2187,.,,84.8299
01-12-1986,103.2,159.3,144.9,595.1,216.5,5.2811,82.5,,85.442
01-01-1987,103,.,.,594.4,.,5.4203,.,,84.8666
01-02-1987,103,.,.,592.5,.,5.4264,.,,85.9233
01-03-1987,102.7,161.8,143.1,592,211.1,5.3921,86.3,,86.1316
01-04-1987,102.5,.,.,590.5,.,5.4508,.,,86.6474
01-05-1987,102.2,.,.,589,.,5.4875,.,,87.3963
01-06-1987,102.2,162.3,145.6,588.9,211.1,5.5504,88.8,,87.801
01-07-1987,102.6,.,.,590.4,.,5.6009,.,,88.5108
01-08-1987,102.6,.,.,591.9,.,5.6485,.,,88.8991
01-09-1987,102.5,162.4,144.5,593.6,210.4,5.7135,88.4,,89.2004
01-10-1987,102.7,.,.,596.7,.,5.7015,.,,90.171
01-11-1987,102.6,.,.,598.5,.,5.6763,.,,90.7535
01-12-1987,103,154.2,144.2,600.2,210,5.7263,91.8,,91.5082
01-01-1988,103.2,.,.,599.7,.,5.657,.,,91.3449
01-02-1988,103.8,.,.,602.2,.,5.613,.,,91.5488
01-03-1988,103.7,154.9,146.3,603.8,210.7,5.6295,93.6,,91.6553
01-04-1988,103.2,.,.,606.8,.,5.6271,.,,92.0777
01-05-1988,103.8,.,.,608.5,.,5.6445,.,,91.6997
01-06-1988,104,155.5,147.9,613.8,210.2,5.654,95.4,,91.7178
01-07-1988,104.1,.,.,614.7,.,5.6703,.,,92.109
01-08-1988,104.4,.,.,616.3,.,5.658,.,,92.0369
01-09-1988,104.6,153.7,161.2,616.7,212.1,5.6728,93.8,,92.08
01-10-1988,104.3,.,.,617.5,.,5.656,.,,92.4275
01-11-1988,104.6,.,.,619.2,.,5.6172,.,,92.6177
01-12-1988,104.7,152.4,167.5,619.7,211,5.5816,96.7,,92.9116
01-01-1989,104.7,.,.,616.6,.,5.5278,.,,93.6257
01-02-1989,104.9,.,.,614.5,.,5.492,.,,92.6837
01-03-1989,105,148.7,164.8,611.4,209.8,5.416,96.6,,92.8965
01-04-1989,105,.,.,608.4,.,5.4367,.,,93.1468
01-05-1989,105.1,.,.,604.9,.,5.4069,.,,92.6654
01-06-1989,105.2,147.5,162.9,602.1,207.5,5.4102,95.5,,93.1003
01-07-1989,105.2,.,.,599.1,.,5.4981,.,,92.1901
01-08-1989,105.3,.,.,598.8,.,5.4949,.,,92.4577
01-09-1989,105.2,147.3,161,594.3,207.5,5.4606,95.5,,92.1292
01-10-1989,105.5,.,.,591.2,.,5.5181,.,,92.1248
01-11-1989,105.3,.,.,589.2,.,5.4973,.,,92.0542
01-12-1989,104.9,147,160.9,586.7,207.4,5.4555,96.1,,92.057
01-01-1990,105.1,.,.,585.2,.,5.5412,.,,93.1962
01-02-1990,104.8,.,.,581.3,.,5.4713,.,,93.3681
01-03-1990,104.9,147.6,155.1,578.7,207.2,5.4557,98.6,,93.4724
01-04-1990,104.8,.,.,576.2,.,5.4204,.,,93.2862
01-05-1990,104.8,.,.,576.4,.,5.4162,.,,93.3039
01-06-1990,104.9,147.1,147,573.2,206.4,5.3892,98.5,,93.3841
01-07-1990,105.4,.,.,572.1,.,5.3631,.,,93.3852
01-08-1990,104.8,.,.,572.1,.,5.3078,.,,93.7267
01-09-1990,104.8,144.2,146.9,570.4,206.6,5.295,100.4,,93.4121
01-10-1990,104.8,.,.,568.8,.,5.3067,.,,92.9389
01-11-1990,104.7,.,.,566.7,.,5.3327,.,,92.7046
01-12-1990,104.9,143.7,148.5,565.1,203.8,5.312,102.8,,92.1157
01-01-1991,105.4,.,.,562.5,.,5.286,.,,91.1122
01-02-1991,105.5,.,.,560.7,.,5.3408,.,,90.6922
01-03-1991,105.3,141.8,149.2,557.9,204,5.3559,103.8,,89.7474
01-04-1991,105.3,.,.,554.9,.,5.3154,.,,89.8664
01-05-1991,104.9,.,.,552,.,5.2753,.,,90.1069
01-06-1991,105.1,141.6,148.5,549.6,202.3,5.2159,101.2,,90.6962
01-07-1991,104.9,.,.,546.1,.,5.1876,.,,90.7075
01-08-1991,104.8,.,.,542.2,.,5.205,.,,91.3756
01-09-1991,104.6,149.4,148.7,538.6,199.8,5.1367,101.1,,91.8231
01-10-1991,104.5,.,.,535.1,.,5.1303,.,,91.7641
01-11-1991,104.4,.,.,531.7,.,5.1576,.,,91.5818
01-12-1991,104.5,150.2,149.4,526.4,197.3,5.2908,103.2,,91.2151
01-01-1992,104.3,.,.,525.5,.,5.4428,.,,91.0869
01-02-1992,104.8,.,.,523.5,.,5.4313,.,,91.39
01-03-1992,105.4,148.5,146.4,519,195.9,5.4337,103.6,,92.1236
01-04-1992,105.4,.,.,519.4,.,5.4924,.,,92.2985
01-05-1992,104.8,.,.,519.2,.,5.5318,.,,92.4822
01-06-1992,104.7,143.9,148.7,518.8,194,5.623,103.8,,92.7387
01-07-1992,104.5,.,.,518.6,.,5.6224,.,,93.1686
01-08-1992,104.3,.,.,517.7,.,5.6414,.,,92.9041
01-09-1992,104.2,143.6,149.9,517.5,192.7,5.681,106.3,,92.9855
01-10-1992,104.3,.,.,518.2,.,5.7624,.,,93.1523
01-11-1992,104.1,.,.,518.8,.,5.7982,.,,93.4095
01-12-1992,104.5,143.8,150.4,518.7,187.2,5.7485,104.6,,93.1083
01-01-1993,104.6,.,.,519.4,.,5.6742,.,,93.972
01-02-1993,105.2,.,.,520.3,.,5.6559,.,,94.2204
01-03-1993,105.3,140,151.4,521,180.6,5.6648,104.7,,93.8208
01-04-1993,105.7,.,.,520.7,.,5.6293,.,,94.2453
01-05-1993,105.5,.,.,519.8,.,5.6091,.,,94.0609
01-06-1993,105.5,141.9,156.4,519,178.1,5.5651,106.4,,93.9412
01-07-1993,105.2,.,.,516.8,.,5.535,.,,94.3967
01-08-1993,105.3,.,.,517.8,.,5.5847,.,,94.2667
01-09-1993,105.4,140,164.2,518.2,174.3,5.6507,107.3,,94.5674
01-10-1993,105.3,.,.,519.3,.,5.7011,.,,94.837
01-11-1993,105.6,.,.,520.6,.,5.7706,.,,95.0823
01-12-1993,105.3,141.5,162,521.2,171.5,5.7956,107.4,,95.5764
01-01-1994,105.3,141.2,161.4,522.3,169.1,5.832,107.6,,95.3652
01-02-1994,105.4,142.3,160.1,523.5,167.6,5.8568,107.5,,95.2894
01-03-1994,105.4,142,161.7,525.7,167,6.0025,108,,96.5825
01-04-1994,105.5,139.5,161.5,528.4,166.5,6.1999,108.2,,97.0457
01-05-1994,105.4,138.7,161.3,530.5,165.3,6.3487,108.4,,97.5058
01-06-1994,105.5,138.6,161.6,532.7,163.9,6.3966,108.7,,97.6017
01-07-1994,105.4,138.1,160.7,535.1,163.4,6.4754,109.1,,97.7808
01-08-1994,104.7,138.7,161.5,539.8,159,6.5662,109.9,,98.1665
01-09-1994,104.2,134.2,161.5,542.9,159.1,6.6978,109.8,,98.3376
01-10-1994,103.6,134.6,162.3,544.8,158.2,6.8132,110.2,,98.9927
01-11-1994,103.5,133.8,160.5,546.9,158,6.8663,110.5,,99.6416
01-12-1994,103.3,133.6,159.7,550,157.5,6.8617,110.2,,100.6571
01-01-1995,103.1,133.9,159.7,553.7,156.4,6.8052,110,,100.6845
01-02-1995,103.6,132.5,158.4,555.3,155.5,6.7891,110.5,,100.1993
01-03-1995,102.8,134.7,159.3,558.1,154.9,6.9207,110.9,,100.1578
01-04-1995,102.9,136.2,159.4,560.7,155.2,7.0071,112.2,,99.6992
01-05-1995,102.7,136.4,161.5,564.2,154.8,7.0969,113.4,,99.968
01-06-1995,102.5,139.5,161.4,567,154.1,7.1334,113.4,,100.1706
01-07-1995,102.1,139.3,156.7,570.6,153.5,7.1192,113.4,,99.5475
01-08-1995,102,138.8,154.9,575.4,151.5,7.1658,113.3,,100.1889
01-09-1995,102.1,139,153.6,580.5,150.8,7.2941,112.5,,100.6984
01-10-1995,102.3,138.1,153,584.4,149.6,7.3925,112,,100.447
01-11-1995,102.3,138.1,152.4,588.8,148.7,7.3658,112.5,,100.3313
01-12-1995,102.2,137.8,150.9,592.9,148.8,7.4368,112.5,,100.1719
01-01-1996,102,137.6,149.3,596.4,145.9,7.5437,112.5,,99.2721
01-02-1996,101.8,138.4,147.9,600.9,145.5,7.5647,112.2,,100.1486
01-03-1996,100.6,136.1,145,600,145,7.5283,111.9,,100.6838
01-04-1996,99.7,136.6,142.9,602.5,143.3,7.3691,111.3,,100.7081
01-05-1996,99.1,136,140.8,603.9,142.3,7.2933,110.9,,101.3212
01-06-1996,98.7,133.9,138.9,606.4,142.2,7.2507,110.6,,101.963
01-07-1996,98.7,130.2,136.7,608.8,139.6,7.3679,110.4,,101.8662
01-08-1996,98.7,129.8,132.7,610.3,138.5,7.4677,110.1,,102.3206
01-09-1996,98.8,129.7,136,610.9,136.5,7.5228,110.5,,102.9197
01-10-1996,98,128.9,132.9,611,135.8,7.6519,110.2,,102.8793
01-11-1996,97.8,128.4,129.4,613.1,134.7,7.6089,109.8,,103.3696
